ORI, DSN, STOP_DATE, SEQ_NO, REF_NO, EVENT_NO, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_MOVING, VIOL_EQUIPMENT, VIOL_LICENSE, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOPARRESTIND, SEARCH_CONDUCT, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, SEARCHED_PERSON, SEARCHED_PROPERTY, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, TIME_OF_STOP, RACE_BEFORE_STOP, RES_JURISDICTION, STOP_NO_ACTION, SEARCH_BOTH, CHRG_TRAFF_VIOL, VIOL_INVESTIGATIVE, STOP_OTHER, STATUS_CODE
MO0957300,516,1/1/2016,0,TA00000122,,M,B,B,,,S,,E,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.50.35,#EETJR1,,,,,,,2220,N,N,N,,,,,FIN
MO0957300,516,1/1/2016,1,TA00000123,,F,B,D,,,S,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.51.07,#EETJR1,,,,,,,2243,N,Y,,,,,,FIN
MO0957300,516,1/1/2016,2,TA00000124,,M,B,B,,,C,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.51.37,#EETJR1,,,,,,,2310,N,N,,,,,,FIN
MO0957300,495,1/1/2016,0,TA00000138,,M,B,C,,,C,,E,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.05.37,#EETJR1,,,,,,,1934,N,Y,,,,,,FIN
MO0957300,506,1/1/2016,0,TA00000147,,F,W,D,,,C,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.39.55,#EETJR1,,,,,,,2018,N,Y,,,,,,FIN
MO0957300,506,1/1/2016,1,TA00000148,,M,W,B,,,C,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.40.49,#EETJR1,,,,,,,2003,N,N,,,,,,FIN
MO0957300,510,1/1/2016,0,TA00000467,,F,B,B,,,S,,E,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.32.36,#EETJR1,,,,,,,2143,N,N,N,,,,,FIN
MO0957300,510,1/1/2016,1,TA00000468,,M,B,B,,,C,,E,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.56.01,#EETJR1,,,,,,,1925,N,Y,N,,,,,FIN
MO0957300,510,1/1/2016,2,TA00000469,,F,B,D,,,N,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.56.35,#EETJR1,,,,,,,2035,N,Y,N,,,,,FIN
MO0957300,504,1/1/2016,0,TA00000595,,F,B,D,,,C,M,,,S,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/5/2016,00.29.57,#EETJR1,,,,,,,1000,N,Y,N,,,,,FIN
