ORI, DSN, STOP_DATE, TIME_OF_STOP, SEQ_NO, REF_NO, EVENT_NO, RACE_BEFORE_STOP, RES_JURISDICTION, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_INVESTIGATIVE, VIOL_EQUIPMENT, VIOL_LICENSE, VIOL_MOVING, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOP_NO_ACTION, STOP_OTHER, STOPARRESTIND, SEARCH_CONDUCT, SEARCH_BOTH, SEARCHED_PERSON, SEARCHED_PROPERTY, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_TRAFF_VIOL, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, STATUS_CODE,,,,,,,,,,,,,,,,,,,,
MO0957300,519,1/2/2018,1830,1,TA00803347,,N,N,M,W,D,,,S,I,,,M,,,,,,,O,N,,,,O,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.24.57,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,519,1/2/2018,1830,2,TA00803348,,N,N,M,W,D,,,S,I,,,M,,,,,,,O,N,,,,O,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.24.59,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,523,1/2/2018,845,0,TA00803441,,N,N,M,B,B,,,C,,,,M,,,T,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/9/2018,10.50.10,#HAMJH2,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,528,1/2/2018,952,0,TA00803538,,N,Y,M,B,C,,,C,I,,,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.51.24,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,528,1/2/2018,1330,1,TA00803539,,N,Y,M,B,D,,,C,,,L,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.52.34,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,533,1/2/2018,1015,0,TA00803628,,N,Y,F,B,D,,,C,,,,M,,,,,,,O,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.37.12,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,511,1/2/2018,926,0,TA00803733,,N,N,F,B,C,,,N,I,E,,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.36.02,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,409,1/3/2018,1800,0,TA00803921,,N,Y,F,W,D,,,C,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.37.29,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,497,1/3/2018,1130,0,TA00804676,,N,N,F,B,B,,,C,,,,M,,,,,,,O,Y,W,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.33.40,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,520,1/3/2018,1117,0,TA00804732,383,N,N,F,B,C,,,C,,,,M,,,,,,,O,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.31.11,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,520,1/3/2018,1053,1,TA00804733,,Y,N,M,W,D,,,C,,,,M,,,,,,,O,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.32.37,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,520,1/3/2018,1040,2,TA00804734,,N,N,F,B,C,,,C,,,,M,,,,,,,O,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.33.08,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,504,1/3/2018,940,0,TA00804846,,N,Y,F,B,C,,,C,,,L,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.36.59,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,504,1/3/2018,730,1,TA00804847,,N,N,M,W,D,,,C,,,,M,,,,,,,O,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.38.01,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,525,1/3/2018,5,0,TA00804916,,Y,Y,M,W,B,,,N,,,,M,,,,,,,O,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.36.29,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,527,1/3/2018,2130,0,TA00804930,,N,Y,F,B,B,,,N,,,,M,,,,,,,O,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.57.23,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,527,1/3/2018,2036,1,TA00804931,,N,N,M,B,D,,,N,,E,,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.58.30,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,529,1/3/2018,1340,0,TA00804985,,N,N,M,B,C,,,N,,,L,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.54.58,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,531,1/3/2018,925,0,TA00805041,,N,Y,M,B,B,,,C,,,,M,,,,,,,O,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.53.03,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,531,1/3/2018,955,1,TA00805042,,N,Y,M,B,B,,,O,,,L,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.53.24,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,531,1/3/2018,1610,2,TA00805043,,N,Y,F,B,B,,,C,,E,,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.53.50,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,531,1/3/2018,1635,3,TA00805044,,N,Y,M,W,D,,,S,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.54.24,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,532,1/3/2018,44,0,TA00805056,,N,Y,M,W,D,,,C,,,,M,,,,,,,O,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.59.01,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,532,1/3/2018,2000,1,TA00805057,,N,N,F,B,D,,,C,I,,,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.00.03,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,535,1/3/2018,856,0,TA00805077,,N,N,M,B,B,,,C,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.27.47,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,535,1/3/2018,832,1,TA00805078,,N,N,M,W,B,,,C,,,L,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.28.15,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
