ORI, DSN, STOP_DATE, SEQ_NO, REF_NO, EVENT_NO, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_MOVING, VIOL_EQUIPMENT, VIOL_LICENSE, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOPARRESTIND, SEARCH_CONDUCT, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, SEARCHED_PERSON, SEARCHED_PROPERTY, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, TIME_OF_STOP, RACE_BEFORE_STOP, RES_JURISDICTION, STOP_NO_ACTION, SEARCH_BOTH, CHRG_TRAFF_VIOL, VIOL_INVESTIGATIVE, STOP_OTHER, STATUS_CODE
MO0957300,488,7/7/2017,0,TA00613602,,F,W,D,,,C,,,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,Y,W,,,,,,,,7/12/2017,05.44.01,#LIDSC1,,,,,,,1930,N,Y,,,,,,FIN
MO0957300,518,7/7/2017,0,TA00613615,,M,W,D,,,N,,E,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.05.35,#MCIRM1,,,,,,,18,N,N,,,,,,FIN
MO0957300,511,7/7/2017,0,TA00613670,,F,B,B,,,N,M,,,,,,,,,O,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.04.22,#MCIRM1,,,,,,,1036,N,Y,,,,,,FIN
MO0957300,511,7/7/2017,1,TA00613671,,F,B,B,,,N,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.19.20,#MCIRM1,,,,,,,935,N,N,,,,,,FIN
MO0957300,519,7/7/2017,0,TA00613719,,M,W,B,,,S,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.24.11,#MCIRM1,,,,,,,825,N,Y,,,,I,O,FIN
MO0957300,519,7/7/2017,1,TA00613720,,F,W,D,,,S,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.24.59,#MCIRM1,,,,,,,750,N,N,,,,I,O,FIN
MO0957300,491,7/7/2017,0,TA00613837,,F,B,B,,,C,,,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.04.59,#MCIRM1,,,,,,,1614,N,N,,,,,,FIN
MO0957300,522,7/7/2017,0,TA00613897,,F,B,B,,,C,,,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.26.18,#MCIRM1,,,,,,,2020,N,Y,,,,,,FIN
MO0957300,522,7/7/2017,1,TA00613898,,M,B,A,,,C,M,,,,,,,,,O,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.40.18,#MCIRM1,,,,,,,930,N,Y,N,,,,,FIN
MO0957300,522,7/7/2017,2,TA00613899,,F,B,B,,,C,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.40.55,#MCIRM1,,,,,,,330,N,Y,N,,,,,FIN
